Type Vehicule;Carburant;Norme Euro;Polluant;Type Route;FE;
VUL;Essence;avant Euro 1;PM1.0;Ville;0.0021;
PL;Diesel;avant Euro 1;CO2;Route;769;
PL;Diesel;avant Euro 1;UPM1.0;Route;0.004;
VUL;Essence;avant Euro 1;UPM2.5;Route;0.016;
PL;Essence;avant Euro 1;UPM2.5;Route;0.049;
BUS;Diesel;avant Euro 1;UPM10;Ville;0.117;
VUL;Essence;avant Euro 1;PM10;Ville;0.00282;
VP;Essence;avant Euro 1;ECOVNM;Route;1.647;
VP;Essence;avant Euro 1;ECOVNM;Ville;4.392;
VUL;Essence;avant Euro 1;UPM10;Ville;0.041;
VUL;Essence;avant Euro 1;COVNM;Route;0.469;
VP;Essence;avant Euro 1;PM10;Route;0.00132;
2R;Essence;avant Euro 1;UPM2.5;Route;0.01;
VP;Diesel;avant Euro 1;PM10;Route;0.11293;
VP;Diesel;avant Euro 1;UTSP;Route;0.033;
VP;Diesel;avant Euro 1;SO2;Ville;0.00655;
VUL;Diesel;avant Euro 1;PM10;Ville;0.24084;
VP;Essence;avant Euro 1;UPM2.5;Ville;0.015;
PL;Essence;avant Euro 1;COVNM;Route;2.386;
PL;Essence;avant Euro 1;PM1.0;Ville;0.00815;
VUL;Diesel;avant Euro 1;UPM10;Ville;0.041;
Bus;Diesel;avant Euro 1;PM2.5;Route;0.30665;
VP;Diesel;avant Euro 1;SO2;Route;0.00347;
VP;Diesel;avant Euro 1;NH3;Route;0.001;
PL;Essence;avant Euro 1;CH4;Ville;0.14;
Bus;Diesel;avant Euro 1;CO2;Route;676.03657;
VUL;Essence;avant Euro 1;UPM2.5;Ville;0.022;
2R;Essence;avant Euro 1;CO2;Ville;102;
VP;Essence;avant Euro 1;PM10;Ville;0.00244;
PL;Diesel;avant Euro 1;PM2.5;Route;0.382;
2R;Essence;avant Euro 1;NOx;Route;0.174;
VP;Essence;avant Euro 1;UPM1.0;Ville;0.002;
2R;Essence;avant Euro 1;COVNM;Route;5.268;
VP;Diesel;avant Euro 1;CO;Route;0.432;
PL;Essence;avant Euro 1;PM10;Route;0.00492;
VUL;Essence;avant Euro 1;UTSP;Ville;0.058;
VUL;Essence;avant Euro 1;CO;Ville;25.233;
VP;Essence;avant Euro 1;CH4;Ville;0.16519;
2R;Essence;avant Euro 1;PM2.5;Ville;0.113;
PL;Diesel;avant Euro 1;COVNM;Route;1.145;
VUL;Diesel;avant Euro 1;UTSP;Ville;0.058;
VUL;Diesel;avant Euro 1;COVNM;Ville;0.113;
VP;Essence;avant Euro 1;NH3;Route;0.002;
VUL;Diesel;avant Euro 1;PM1.0;Ville;0.22252;
Bus;Diesel;avant Euro 1;PM10;Route;0.30665;
PL;Essence;avant Euro 1;N2O;Route;0.006;
VP;Diesel;avant Euro 1;CH4;Route;0.012;
VP;Diesel;avant Euro 1;UPM10;Ville;0.029;
PL;Diesel;avant Euro 1;CH4;Ville;0.175;
VUL;Essence;avant Euro 1;COVNM;Ville;2.624;
BUS;Diesel;avant Euro 1;UPM10;Route;0.096;
VP;Essence;avant Euro 1;UPM2.5;Route;0.012;
PL;Diesel;avant Euro 1;NOx;Route;11.101;
PL;Essence;avant Euro 1;UPM1.0;Ville;0.008;
PL;Diesel;avant Euro 1;NOx;Ville;17.468;
VP;Diesel;avant Euro 1;UPM1.0;Ville;0.002;
2R;Essence;avant Euro 1;NH3;Route;0.001;
VUL;Essence;avant Euro 1;CH4;Ville;0.16519;
PL;Diesel;avant Euro 1;N2O;Route;0.03;
VP;Diesel;avant Euro 1;UPM2.5;Route;0.012;
VUL;Diesel;avant Euro 1;CO2;Route;174.88987;
VP;Essence;avant Euro 1;UPM1.0;Route;0.001;
VP;Essence;avant Euro 1;NOx;Ville;1.7193;
VUL;Essence;avant Euro 1;UPM1.0;Ville;0.003;
2R;Essence;avant Euro 1;NOx;Ville;0.122;
PL;Essence;avant Euro 1;UPM10;Route;0.094;
PL;Diesel;avant Euro 1;CO;Ville;6.64;
VP;Essence;avant Euro 1;UPM10;Route;0.021;
Bus;Diesel;avant Euro 1;SO2;Route;0.02129;
PL;Diesel;avant Euro 1;UPM1.0;Ville;0.006;
2R;Essence;avant Euro 1;PM10;Ville;0.113;
VUL;Diesel;avant Euro 1;CO;Ville;1.235;
VP;Diesel;avant Euro 1;COVNM;Route;0.069;
VP;Essence;avant Euro 1;NOx;Route;2.3442;
VP;Essence;avant Euro 1;COVNM;Route;0.754;
VUL;Diesel;avant Euro 1;CO2;Ville;260.61242;
PL;Diesel;avant Euro 1;NH3;Route;0.003;
Bus;Diesel;avant Euro 1;PM1.0;Ville;0.71521;
VP;Diesel;avant Euro 1;UPM1.0;Route;0.001;
2R;Essence;avant Euro 1;UPM1.0;Ville;0.001;
VP;Essence;avant Euro 1;UPM10;Ville;0.029;
BUS;Diesel;avant Euro 1;UPM1.0;Route;0.006;
2R;Essence;avant Euro 1;UPM10;Ville;0.013;
VUL;Diesel;avant Euro 1;SO2;Ville;0.00821;
PL;Diesel;avant Euro 1;CH4;Route;0.08;
VP;Essence;avant Euro 1;PM1.0;Ville;0.00182;
BUS;Diesel;avant Euro 1;UTSP;Ville;0.173;
VUL;Essence;avant Euro 1;NOx;Ville;2.43659;
PL;Essence;avant Euro 1;CH4;Route;0.11;
VP;Essence;avant Euro 1;CO2;Ville;248.92435;
Bus;Diesel;avant Euro 1;CH4;Route;0.08;
PL;Essence;avant Euro 1;NH3;Route;0.002;
PL;Diesel;avant Euro 1;CO;Route;3.252;
VP;Essence;avant Euro 1;UTSP;Ville;0.042;
Bus;Diesel;avant Euro 1;PM2.5;Ville;0.77411;
PL;Essence;avant Euro 1;COVNM;Ville;6.214;
VUL;Diesel;avant Euro 1;CH4;Route;0.012;
VP;Essence;avant Euro 1;N2O;Ville;0.00995;
2R;Essence;avant Euro 1;UTSP;Route;0.006;
BUS;Diesel;avant Euro 1;UTSP;Route;0.149;
BUS;Diesel;avant Euro 1;COVNM;Ville;1.667;
BUS;Diesel;avant Euro 1;COVNM;Route;0.528;
VP;Diesel;avant Euro 1;NH3;Ville;0;
VUL;Essence;avant Euro 1;PM1.0;Route;0.0023;
VUL;Essence;avant Euro 1;ECOVNM;Ville;66.038;
PL;Diesel;avant Euro 1;UTSP;Route;0.121;
PL;Essence;avant Euro 1;UPM1.0;Route;0.006;
VP;Diesel;avant Euro 1;PM10;Ville;0.20861;
Bus;Diesel;avant Euro 1;PM10;Ville;0.77411;
VUL;Diesel;avant Euro 1;CH4;Ville;0.02488;
VUL;Diesel;avant Euro 1;PM2.5;Route;0.26384;
2R;Essence;avant Euro 1;N2O;Route;0.00149;
VUL;Essence;avant Euro 1;CO2;Route;153.4441;
Bus;Diesel;avant Euro 1;NOx;Ville;16.60247;
VP;Diesel;avant Euro 1;CO;Ville;0.764;
VP;Diesel;avant Euro 1;UPM2.5;Ville;0.015;
Bus;Diesel;avant Euro 1;CO2;Ville;1388.77224;
2R;Essence;avant Euro 1;NH3;Ville;0.001;
VP;Essence;avant Euro 1;ECOVNM;Ville;4.392;
2R;Essence;avant Euro 1;UTSP;Ville;0.019;
BUS;Diesel;avant Euro 1;CO;Route;2.104;
VUL;Essence;avant Euro 1;SO2;Ville;0.00953;
VUL;Diesel;avant Euro 1;UPM2.5;Ville;0.022;
VP;Essence;avant Euro 1;ECOVNM;Route;1.647;
Bus;Diesel;avant Euro 1;SO2;Ville;0.04375;
PL;Diesel;avant Euro 1;PM1.0;Ville;0.785;
VP;Essence;avant Euro 1;UTSP;Route;0.033;
VUL;Diesel;avant Euro 1;UTSP;Route;0.044;
PL;Diesel;avant Euro 1;UPM2.5;Ville;0.046;
VUL;Diesel;avant Euro 1;COVNM;Route;0.085;
VUL;Diesel;avant Euro 1;PM10;Route;0.26384;
VUL;Diesel;avant Euro 1;NH3;Route;0.001;
2R;Essence;avant Euro 1;ECOVNM;Route;0.126;
PL;Diesel;avant Euro 1;NH3;Ville;0.003;
VP;Diesel;avant Euro 1;NOx;Route;0.44488;
2R;Essence;avant Euro 1;CH4;Ville;0.211;
VUL;Essence;avant Euro 1;NH3;Ville;0.002;
Bus;Diesel;avant Euro 1;PM1.0;Route;0.28331;
VUL;Essence;avant Euro 1;CO2;Ville;303.78125;
VUL;Essence;avant Euro 1;NOx;Route;3.13607;
PL;Essence;avant Euro 1;UPM2.5;Ville;0.058;
VP;Essence;avant Euro 1;CH4;Route;0.086;
VP;Diesel;avant Euro 1;PM1.0;Route;0.10434;
VUL;Essence;avant Euro 1;SO2;Route;0.00481;
VP;Essence;avant Euro 1;SO2;Route;0.00494;
BUS;Diesel;avant Euro 1;UPM2.5;Route;0.05;
VP;Diesel;avant Euro 1;UTSP;Ville;0.042;
VUL;Diesel;avant Euro 1;UPM2.5;Route;0.016;
Bus;Diesel;avant Euro 1;CH4;Ville;0.175;
VP;Essence;avant Euro 1;CO;Route;4.553;
PL;Essence;avant Euro 1;CO;Ville;6.155;
PL;Diesel;avant Euro 1;UTSP;Ville;0.139;
2R;Essence;avant Euro 1;ECOVNM;Ville;0.711;
VUL;Diesel;avant Euro 1;NOx;Route;0.81011;
PL;Diesel;avant Euro 1;PM2.5;Ville;0.849;
VP;Diesel;avant Euro 1;PM2.5;Route;0.11293;
2R;Essence;avant Euro 1;COVNM;Ville;5.949;
VP;Diesel;avant Euro 1;CO2;Route;110.25105;
PL;Diesel;avant Euro 1;UPM10;Route;0.078;
VUL;Essence;avant Euro 1;PM2.5;Ville;0.00282;
2R;Essence;avant Euro 1;PM1.0;Route;0.0854;
PL;Diesel;avant Euro 1;N2O;Ville;0.03;
PL;Essence;avant Euro 1;PM1.0;Route;0.00367;
2R;Essence;avant Euro 1;PM10;Route;0.113;
2R;Essence;avant Euro 1;PM2.5;Route;0.113;
VUL;Essence;avant Euro 1;NH3;Route;0.002;
VP;Diesel;avant Euro 1;CO2;Ville;207.80807;
2R;Essence;avant Euro 1;ECOVNM;Ville;0.711;
PL;Essence;avant Euro 1;CO2;Route;436;
PL;Essence;avant Euro 1;NOx;Route;4.331;
PL;Essence;avant Euro 1;PM2.5;Route;0.00492;
PL;Diesel;avant Euro 1;PM1.0;Route;0.353;
VUL;Diesel;avant Euro 1;UPM1.0;Route;0.002;
VP;Diesel;avant Euro 1;COVNM;Ville;0.155;
VUL;Essence;avant Euro 1;UPM10;Route;0.028;
VUL;Essence;avant Euro 1;ECOVNM;Route;24.764;
PL;Diesel;avant Euro 1;CO2;Ville;1404;
PL;Essence;avant Euro 1;UTSP;Ville;0.17;
VUL;Essence;avant Euro 1;UTSP;Route;0.044;
2R;Essence;avant Euro 1;PM1.0;Ville;0.0853;
VUL;Essence;avant Euro 1;ECOVNM;Route;24.764;
VP;Essence;avant Euro 1;SO2;Ville;0.00781;
VUL;Essence;avant Euro 1;UPM1.0;Route;0.002;
BUS;Diesel;avant Euro 1;UPM2.5;Ville;0.06;
VUL;Diesel;avant Euro 1;SO2;Route;0.00551;
VUL;Diesel;avant Euro 1;CO;Route;0.931;
BUS;Diesel;avant Euro 1;CO;Ville;5.302;
VUL;Essence;avant Euro 1;PM2.5;Route;0.00309;
Bus;Diesel;avant Euro 1;N2O;Ville;0.03;
PL;Diesel;avant Euro 1;COVNM;Ville;2.914;
PL;Diesel;avant Euro 1;UPM2.5;Route;0.038;
PL;Essence;avant Euro 1;N2O;Ville;0.006;
PL;Essence;avant Euro 1;CO2;Ville;635;
VUL;Diesel;avant Euro 1;NOx;Ville;2.32361;
VP;Essence;avant Euro 1;N2O;Route;0.006;
BUS;Diesel;avant Euro 1;NH3;Route;0.002;
PL;Diesel;avant Euro 1;PM10;Ville;0.849;
VUL;Essence;avant Euro 1;N2O;Ville;0.00995;
2R;Essence;avant Euro 1;UPM10;Route;0.001;
VUL;Diesel;avant Euro 1;PM2.5;Ville;0.24084;
VP;Essence;avant Euro 1;CO2;Route;157.59082;
VUL;Essence;avant Euro 1;ECOVNM;Ville;66.038;
VUL;Diesel;avant Euro 1;NH3;Ville;0;
2R;Essence;avant Euro 1;CH4;Route;0.211;
Bus;Diesel;avant Euro 1;N2O;Route;0.03;
VP;Diesel;avant Euro 1;UPM10;Route;0.021;
VP;Diesel;avant Euro 1;NOx;Ville;0.60383;
VUL;Diesel;avant Euro 1;UPM1.0;Ville;0.003;
PL;Essence;avant Euro 1;CO;Route;3.123;
VP;Essence;avant Euro 1;PM2.5;Route;0.00132;
PL;Essence;avant Euro 1;UPM10;Ville;0.115;
VP;Essence;avant Euro 1;NH3;Ville;0.002;
VUL;Essence;avant Euro 1;PM10;Route;0.00309;
Bus;Diesel;avant Euro 1;NOx;Route;8.82685;
PL;Essence;avant Euro 1;NH3;Ville;0.002;
2R;Essence;avant Euro 1;N2O;Ville;0.00149;
PL;Essence;avant Euro 1;PM10;Ville;0.0109;
PL;Essence;avant Euro 1;UTSP;Route;0.147;
VP;Diesel;avant Euro 1;PM1.0;Ville;0.19273;
VUL;Diesel;avant Euro 1;UPM10;Route;0.028;
VP;Essence;avant Euro 1;CO;Ville;13.414;
VP;Essence;avant Euro 1;COVNM;Ville;1.808;
PL;Essence;avant Euro 1;NOx;Ville;5.386;
VP;Essence;avant Euro 1;PM2.5;Ville;0.00244;
2R;Essence;avant Euro 1;ECOVNM;Route;0.129;
PL;Essence;avant Euro 1;PM2.5;Ville;0.0109;
PL;Diesel;avant Euro 1;UPM10;Ville;0.096;
VUL;Essence;avant Euro 1;CO;Route;5.35;
VUL;Essence;avant Euro 1;CH4;Route;0.086;
VP;Essence;avant Euro 1;PM1.0;Route;0.00099;
2R;Essence;avant Euro 1;CO2;Route;96.1;
VUL;Essence;avant Euro 1;N2O;Route;0.01;
VP;Diesel;avant Euro 1;PM2.5;Ville;0.20861;
BUS;Diesel;avant Euro 1;NH3;Ville;0.003;
2R;Essence;avant Euro 1;UPM1.0;Route;0.131;
BUS;Diesel;avant Euro 1;UPM1.0;Ville;0.008;
PL;Diesel;avant Euro 1;PM10;Route;0.382;
VUL;Diesel;avant Euro 1;PM1.0;Route;0.24377;
VP;Diesel;avant Euro 1;CH4;Ville;0.02488;
2R;Essence;avant Euro 1;UPM2.5;Ville;0.007;
VUL;Diesel;Euro 1;SO2;Route;0.00546;
2R;Essence;Euro 1;PM2.5;Ville;0.03299;
PL;Diesel;Euro 1;PM2.5;Route;0.20331;
VP;Essence;Euro 1;UPM10;Route;0.021;
PL;Diesel;Euro 1;CO2;Ville;959.7787;
PL;Essence;Euro 1;UPM2.5;Ville;0.058;
2R;Essence;Euro 1;ECOVNM;Ville;0.615;
VUL;Essence;Euro 1;UPM10;Ville;0.041;
PL;Diesel;Euro 1;SO2;Route;0.01838;
PL;Essence;Euro 1;PM2.5;Ville;0.0109;
VUL;Essence;Euro 1;UPM2.5;Ville;0.022;
PL;Essence;Euro 1;NOx;Route;5.917;
VP;Essence;Euro 1;CH4;Route;0.016;
PL;Diesel;Euro 1;UPM10;Route;0.085;
VUL;Diesel;Euro 1;N2O;Route;0.004;
VUL;Diesel;Euro 1;UPM10;Ville;0.041;
VUL;Essence;Euro 1;UPM10;Route;0.028;
VUL;Diesel;Euro 1;CO;Route;0.32;
VP;Diesel;Euro 1;UPM1.0;Ville;0.002;
VP;Essence;Euro 1;ECOVNM;Ville;0.285;
BUS;Diesel;Euro 1;NH3;Route;0.002;
VUL;Diesel;Euro 1;PM10;Ville;0.07445;
BUS;Diesel;Euro 1;UTSP;Ville;0.171;
BUS;Diesel;Euro 1;UPM2.5;Route;0.05;
2R;Essence;Euro 1;PM10;Ville;0.03299;
PL;Diesel;Euro 1;N2O;Route;0.00739;
VUL;Diesel;Euro 1;CO2;Ville;265.08217;
Bus;Diesel;Euro 1;PM2.5;Ville;0.50703;
VP;Diesel;Euro 1;UTSP;Ville;0.042;
BUS;Diesel;Euro 1;UPM1.0;Ville;0.008;
VP;Essence;Euro 1;UPM2.5;Route;0.012;
2R;Essence;Euro 1;UTSP;Route;0.014;
VUL;Diesel;Euro 1;SO2;Ville;0.00835;
PL;Essence;Euro 1;COVNM;Route;2.386;
VUL;Essence;Euro 1;NH3;Route;0.133;
VP;Essence;Euro 1;ECOVNM;Ville;0.285;
PL;Diesel;Euro 1;UPM1.0;Route;0.005;
Bus;Diesel;Euro 1;PM1.0;Route;0.19561;
VUL;Essence;Euro 1;UPM2.5;Route;0.016;
2R;Essence;Euro 1;COVNM;Route;2.085;
Bus;Diesel;Euro 1;N2O;Ville;0.01135;
PL;Essence;Euro 1;PM10;Ville;0.0109;
2R;Essence;Euro 1;UPM10;Route;0.009;
2R;Essence;Euro 1;UPM1.0;Route;0.016;
PL;Essence;Euro 1;CO;Ville;6.155;
VP;Diesel;Euro 1;NOx;Route;0.56989;
PL;Diesel;Euro 1;UTSP;Ville;0.153;
PL;Essence;Euro 1;NH3;Route;0.002;
VP;Essence;Euro 1;N2O;Ville;0.0385;
VP;Essence;Euro 1;UTSP;Ville;0.042;
VP;Diesel;Euro 1;CH4;Route;0.009;
VP;Essence;Euro 1;UTSP;Route;0.033;
VP;Essence;Euro 1;PM2.5;Ville;0.00322;
VUL;Essence;Euro 1;N2O;Route;0.0251;
VUL;Essence;Euro 1;PM1.0;Ville;0.0024;
PL;Essence;Euro 1;UTSP;Ville;0.17;
2R;Essence;Euro 1;NH3;Ville;0.002;
VUL;Diesel;Euro 1;PM10;Route;0.06129;
VUL;Diesel;Euro 1;NOx;Ville;1.30574;
VP;Essence;Euro 1;COVNM;Ville;0.4;
VUL;Essence;Euro 1;N2O;Ville;0.04425;
PL;Essence;Euro 1;PM2.5;Route;0.203;
VP;Essence;Euro 1;NH3;Ville;0.064;
VP;Diesel;Euro 1;COVNM;Route;0.023;
VUL;Essence;Euro 1;UTSP;Route;0.044;
Bus;Diesel;Euro 1;CH4;Route;0.08;
VP;Diesel;Euro 1;CO2;Ville;215.32014;
PL;Essence;Euro 1;NH3;Ville;0.002;
2R;Essence;Euro 1;NOx;Route;0.33342;
PL;Essence;Euro 1;UTSP;Route;0.147;
VP;Diesel;Euro 1;UPM10;Ville;0.029;
2R;Essence;Euro 1;PM1.0;Route;0.02467;
PL;Diesel;Euro 1;PM2.5;Ville;0.44771;
VUL;Diesel;Euro 1;NH3;Route;0.001;
VP;Diesel;Euro 1;PM2.5;Route;0.05266;
PL;Essence;Euro 1;CH4;Route;0.0523;
VUL;Essence;Euro 1;COVNM;Ville;0.438;
Bus;Diesel;Euro 1;NOx;Route;5.8785;
2R;Essence;Euro 1;UPM1.0;Ville;0.001;
VP;Diesel;Euro 1;CO;Route;0.196;
PL;Diesel;Euro 1;CO;Route;1.368;
VUL;Essence;Euro 1;PM10;Ville;0.00322;
VP;Diesel;Euro 1;UPM1.0;Route;0.001;
Bus;Diesel;Euro 1;PM10;Route;0.21172;
VP;Diesel;Euro 1;UPM2.5;Route;0.012;
VUL;Essence;Euro 1;PM10;Route;0.00184;
PL;Essence;Euro 1;CH4;Ville;0.14;
VUL;Diesel;Euro 1;CH4;Route;0.009;
VP;Diesel;Euro 1;PM10;Ville;0.05505;
VP;Diesel;Euro 1;N2O;Ville;0.001;
VP;Essence;Euro 1;ECOVNM;Route;0.107;
VUL;Essence;Euro 1;UTSP;Ville;0.058;
2R;Essence;Euro 1;ECOVNM;Route;0.231;
VUL;Essence;Euro 1;UPM1.0;Route;0.002;
VUL;Diesel;Euro 1;PM2.5;Route;0.06129;
VUL;Diesel;Euro 1;COVNM;Route;0.088;
VP;Diesel;Euro 1;SO2;Ville;0.00678;
VP;Diesel;Euro 1;CO2;Route;149.56623;
PL;Essence;Euro 1;PM1.0;Route;0.188;
2R;Essence;Euro 1;NH3;Route;0.002;
VUL;Essence;Euro 1;UPM1.0;Ville;0.003;
Bus;Diesel;Euro 1;SO2;Ville;0.03698;
PL;Diesel;Euro 1;COVNM;Route;0.373;
PL;Diesel;Euro 1;CO2;Route;583.59201;
PL;Essence;Euro 1;CO2;Ville;635;
BUS;Diesel;Euro 1;COVNM;Ville;1.011;
PL;Essence;Euro 1;CO;Route;3.123;
2R;Essence;Euro 1;UTSP;Ville;0.019;
VUL;Essence;Euro 1;PM1.0;Route;0.00137;
VP;Essence;Euro 1;UPM10;Ville;0.029;
